organisation,competition,season,grade,round date,round,home team,away team,venue,playing surface,game date,game time,game alias
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  8,13/6/2026,6,Carnegie Chargers U16 Boys Allen,Lakers U16 Boys Black,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  4,13/6/2026,6,Carnegie Chargers U16 Boys Greg,Shadow Wolves U16 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  7,13/6/2026,6,Carnegie Chargers U16 Boys Manny,ABA U16 Wolverines Hunters,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  7,13/6/2026,6,Carnegie Chargers U18 Boys Peter K,Lakers U18 Boys Sapphire,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  1,13/6/2026,6,Carnegie Chargers U18 Boys Peter M,Thunder Wolves U18 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U8 Mixed GREEN,13/6/2026,6,Carnegie Chargers U8 Mixed Ben,JETS U8 Boys Adam & Charlie,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U8 Mixed BLUE,13/6/2026,6,Carnegie Chargers U8 Mixed Tobias,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U8 Mixed GREEN,13/6/2026,6,Carnegie Chargers U8 Mixed Will,Lakers U8 Boys Red,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  7,13/6/2026,6,Combat Warriors U10 Boys,JETS U10 Boys Josh,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  2,13/6/2026,6,Dark Wolves U12 Boys,St Kilda Warriors BRAVE U12 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  3,13/6/2026,6,Dark Wolves U14 Boys,RAPTORS U14 Boys Orange,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  2,13/6/2026,6,Dark Wolves U18 Boys,Lakers U18 Boys Blue,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div 12,13/6/2026,6,Delta Warriors U12 Boys,Lakers U12 Boys Purple,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  7,13/6/2026,6,Devil Wolves U14 Boys,ABA U14 Wolverines Flames,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  6,13/6/2026,6,Dragon Warriors U18 Boys,Carnegie Chargers U18 Boys Gold,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  3,13/6/2026,6,Dreidel Dribblers,Bricked Ballers,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  7,13/6/2026,6,East Malvern Hot Shots,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  1 (Pool 1),13/6/2026,6,Electric Wolves U12 Boys,Gladiator Warriors U12 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  4,13/6/2026,6,Fire Wolves U12 Boys,St Kilda Warriors FIERCE U12 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  2,13/6/2026,6,Free Ballers,Fighter Warriors U18 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  2,13/6/2026,6,Hero Warriors U10 Boys,Thunder Wolves U10 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  8 Modified,13/6/2026,6,Howling Wolves U10 Boys,Sonic Warriors U10 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  4,13/6/2026,6,Ice Wolves U16 Boys,Fearless Warriors U16 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  4,13/6/2026,6,Immortal Warriors U14 Boys,Maccabi U14 Boys Warriors,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  9 Modified,13/6/2026,6,Jedi Warriors U10 Boys,Carnegie Chargers U10 Boys Bernard & Simon,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  8 Modified,13/6/2026,6,JETS U10 Boys Daniel,Saints U10 Boys Lightning,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  4,13/6/2026,6,JETS U10 Boys Jason,Saints U10 Boys Storm,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  9 Modified,13/6/2026,6,JETS U10 Boys Mike,Lakers U10 Boys Teal,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  5,13/6/2026,6,JETS U10 Boys Paul,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  3,13/6/2026,6,JETS U10 Boys Serge,MM U10 Boys Pistons,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  4,13/6/2026,6,JETS U10 Boys Shannon,BYE,,,,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  2,13/6/2026,6,JETS U12 Boys Andrew,Lakers U12 Boys Blue,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  8,13/6/2026,6,JETS U12 Boys Anton,RAPTORS U12 Boys Andrew,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  1 (Pool 1),13/6/2026,6,JETS U12 Boys Darcy,JETS U12 Boys Marco,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div 11,13/6/2026,6,JETS U12 Boys David,RAPTORS U12 Boys Paul,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  5,13/6/2026,6,JETS U12 Boys Elliot & Zachary,St Kilda Warriors BOLD U12 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  6,13/6/2026,6,JETS U12 Boys Greg,Wild Wolves U12 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div 13,13/6/2026,6,JETS U12 Boys Kev,JETS U12 Boys Nathan,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  1 (Pool 2),13/6/2026,6,JETS U12 Boys Zoe,ABA U12 Wolverines Switch,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 15,13/6/2026,6,JETS U14 Boys Asher,MM U14 Boys Cavs,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  5,13/6/2026,6,JETS U14 Boys Ben,Saints U14 Boys Blazers,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 12,13/6/2026,6,JETS U14 Boys Benji,RAPTORS U14 Boys Jason C,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 10,13/6/2026,6,JETS U14 Boys Ian,Saints U14 Boys Clippers,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 15,13/6/2026,6,JETS U14 Boys Lenka,Lakers U14 Boys Teal,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  1,13/6/2026,6,JETS U14 Boys Louie,MM U14 Boys Blazers,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 10,13/6/2026,6,JETS U14 Boys Mark,RAPTORS U14 Boys Ali,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  8,13/6/2026,6,JETS U14 Boys Michael,MM U14 Boys Spurs,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 15,13/6/2026,6,JETS U14 Boys Simon,Saints U14 Boys Jaguars,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  7,13/6/2026,6,JETS U16 Boys Aaron,Dark Wolves U16 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 11,13/6/2026,6,JETS U16 Boys Billy,U16 Boys Anderson Park Piranhas,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  9,13/6/2026,6,JETS U16 Boys Casey,JETS U16 Boys Jeremey (Green),,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 13,13/6/2026,6,JETS U16 Boys David,Night Wolves U16 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  1,13/6/2026,6,JETS U16 Boys Eddie,St Kilda Warriors BRAVE U16 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  7,13/6/2026,6,JETS U16 Boys Jeremey (Black),Grey Wolves U16 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 12,13/6/2026,6,JETS U16 Boys Lauren,Saints U16 Boys Hawks,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 14,13/6/2026,6,JETS U16 Boys Nick,Lakers U16 Boys Sapphire,,,13/6/2026,,
