Venue,Playing Surface,Day,Time_Slots
Cheltenham Secondary College,Court 2,Sunday,"9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm"
Coatesville Primary School,Court 1,Sunday,"9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm"
Glen Eira Sports & Aquatic Centre,Court 1,Sunday,"2:45 pm, 3:30 pm, 4:15 pm, 5 pm, 5:45 pm"
Glen Eira Sports & Aquatic Centre,Court 2,Sunday,"8:45 am, 9:30 am, 10:15 am, 2:45 pm, 3:30 pm, 4:15 pm, 5 pm, 5:45 pm"
Glen Eira Sports & Aquatic Centre,Court 3,Sunday,"8:45 am, 9:30 am, 10:15 am, 11 am, 11:45 am, 12:30 pm, 1:15 pm, 2 pm, 2:45 pm, 3:30 pm, 4:15 pm, 5 pm, 5:45 pm"
Glen Huntly Primary School,Court 1,Sunday,"1:30 pm, 2:15 pm, 3 pm, 3:45 pm, 4:30 pm"
McKinnon Secondary College,Court 1 - Main Campus,Sunday,"9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm, 3 pm, 3:45 pm, 4:30 pm, 5:15 pm"
Monash Sport - Clayton,Games Hall Court 1,Sunday,
Monash Sport - Clayton,Recreation Hall Court 1,Sunday,
Monash Sport - Clayton,Recreation Hall Court 2,Sunday,
Monash Sport - Clayton,Stadium Court 1,Sunday,
Monash Sport - Clayton,Stadium Court 2,Sunday,
Moorabbin Primary School,Court 1,Sunday,"9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm, 3 pm"
South Oakleigh College,Court 1,Sunday,"9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm"
Tucker Road Bentleigh Primary School,Court 1,Sunday,"9 am, 9:45 am, 10:30 am, 11:15 am, 12 pm, 12:45 pm, 1:30 pm, 2:15 pm"
