Grade,Team,Linked_Team1,Linked_Team2,Linked_Team3,Linked_Team4,Linked_Team5,Linked_Team6,Linked_Team7,Linked_Team8,Unavailable_Times
Saturday U10 Boys Div  8 Modified,JETS U10 Boys Anthony,,,,,,,,,
Saturday U10 Boys Div  8 Modified,JETS U10 Boys Daniel,,,,,,,,,
Saturday U10 Boys Div  8 Modified,Saints U10 Boys Lightning,,,,,,,,,
Saturday U10 Boys Div  8 Modified,Saints U10 Boys Rockets,,,,,,,,,
Saturday U10 Boys Div  8 Modified,Sonic Warriors U10 Boys,Immortal Warriors U14 Boys,,,,,,,,<10 am
Saturday U10 Boys Div  8 Modified,Vampires Basketball U10 Boys Howlers,,,,,,,,,
Saturday U10 Boys Div  9 Modified,Carnegie Chargers U10 Boys Bernard & Simon,,,,,,,,,
Saturday U10 Boys Div  9 Modified,Jedi Warriors U10 Boys,,,,,,,,,>9:45 am
Saturday U10 Boys Div  9 Modified,JETS U10 Boys Mike,,,,,,,,,
Saturday U10 Boys Div  9 Modified,Lakers U10 Boys Teal,,,,,,,,,
Saturday U12 Boys Div  1 (Pool 1),Electric Wolves U12 Boys,,,,,,,,,
Saturday U12 Boys Div  1 (Pool 1),Gladiator Warriors U12 Boys,,,,,,,,,<12 pm
Saturday U12 Boys Div  1 (Pool 1),JETS U12 Boys Darcy,Saints U16 Boys Storm,,,,,,,,<10 am
Saturday U12 Boys Div  1 (Pool 1),JETS U12 Boys Marco,,,,,,,,,
Saturday U12 Boys Div  1 (Pool 1),Saints U12 Boys Kings,Saints U14 Boys Panthers,,,,,,,,
Saturday U12 Boys Div  1 (Pool 1),Saints U12 Boys Knicks,,,,,,,,,
Saturday U12 Boys Div  1 (Pool 1),Vampires Basketball U12 Boys Blood Ballers,Vampires Basketball U12 Boys Ravens,Vampires Basketball U12 Boys Phoenixes,,,,,,,
Saturday U12 Boys Div  1 (Pool 2),ABA U12 Wolverines Switch,,,,,,,,,
Saturday U12 Boys Div  1 (Pool 2),Carnegie Chargers U12 Boys Mina,Carnegie Chargers U12 Boys Quinn,,,,,,,,
Saturday U12 Boys Div  1 (Pool 2),JETS U12 Boys Zoe,,,,,,,,,
Saturday U12 Boys Div  1 (Pool 2),Lakers U12 Boys Aqua,,,,,,,,,
Saturday U12 Boys Div  1 (Pool 2),Saints U12 Boys Giants,,,,,,,,,
Saturday U12 Boys Div  1 (Pool 2),Saints U12 Boys Pistons,Saints U14 Boys Phoenix,Saints U14 Boys Panthers,,,,,,,
Saturday U12 Boys Div  2,Carnegie Chargers U12 Boys Andrew,Carnegie Chargers U10 Boys Andrew,Carnegie Chargers U14 Boys Beau,,,,,,,
Saturday U12 Boys Div  2,Dark Wolves U12 Boys,Fierce Wolves U14 Boys,,,,,,,,
Saturday U12 Boys Div  2,JETS U12 Boys Andrew,,,,,,,,,
Saturday U12 Boys Div  2,Lakers U12 Boys Blue,,,,,,,,,<12 pm
Saturday U12 Boys Div  2,RAPTORS U12 Boys Richard,,,,,,,,,
Saturday U12 Boys Div  2,St Kilda Warriors BRAVE U12 Boys,St Kilda Warriors BRAVE U10 Boys,St Kilda Warriors POWER U10 Boys,St Kilda Warriors POWER U12 Boys,St Kilda Warriors FIERCE U12 Boys,St Kilda Warriors BOLD U12 Boys,St Kilda Warriors STRONG U12 Boys,St Kilda Warriors SPIRIT U12 Boys,,
Saturday U12 Boys Div  3,Lakers U12 Boys Navy,,,,,,,,,
Saturday U12 Boys Div  3,RAPTORS U12 Boys Chris,,,,,,,,,
Saturday U12 Boys Div  3,Saints U12 Boys Warriors,,,,,,,,,
Saturday U12 Boys Div  3,St Kilda Warriors POWER U12 Boys,St Kilda Warriors BRAVE U10 Boys,St Kilda Warriors POWER U10 Boys,St Kilda Warriors BRAVE U12 Boys,St Kilda Warriors FIERCE U12 Boys,St Kilda Warriors BOLD U12 Boys,St Kilda Warriors STRONG U12 Boys,St Kilda Warriors SPIRIT U12 Boys,,
Saturday U12 Boys Div  3,Titan Warriors U12 Boys,,,,,,,,,
Saturday U12 Boys Div  3,Vampires U12 Boys Shadow Dunkers,,,,,,,,,
Saturday U12 Boys Div  4,ABA U12 Wolverines Venom,,,,,,,,,
Saturday U12 Boys Div  4,Carnegie Chargers U12 Boys Quinn,Carnegie Chargers U12 Boys Mina,Carnegie Chargers U18 Boys Ben,,,,,,,
Saturday U12 Boys Div  4,Fire Wolves U12 Boys,,,,,,,,,
Saturday U12 Boys Div  4,JETS U12 Boys Wills,JETS U18 Boys Daniel,,,,,,,,
Saturday U12 Boys Div  4,Lakers U12 Boys Silver,Lakers U14 Boys Burgundy,,,,,,,,
Saturday U12 Boys Div  4,St Kilda Warriors FIERCE U12 Boys,St Kilda Warriors BRAVE U10 Boys,St Kilda Warriors POWER U10 Boys,St Kilda Warriors BRAVE U12 Boys,St Kilda Warriors POWER U12 Boys,St Kilda Warriors BOLD U12 Boys,St Kilda Warriors STRONG U12 Boys,St Kilda Warriors SPIRIT U12 Boys,,<12:30 pm
Saturday U12 Boys Div  4,Timberwolves U12 Boys,,,,,,,,,
Saturday U12 Boys Div  5,JETS U12 Boys Elliot & Zachary,JETS U16 Boys Paul,JETS U18 Boys Daniel,,,,,,,<11:15 am
Saturday U12 Boys Div  5,Le Bron Warriors U12 Boys,Hero Warriors U10 Boys,,,,,,,,
Saturday U12 Boys Div  5,MM U12 Boys Taipans,MM U18 Boys Titans,,,,,,,,
Saturday U12 Boys Div  5,St Kilda Warriors BOLD U12 Boys,St Kilda Warriors BRAVE U10 Boys,St Kilda Warriors POWER U10 Boys,St Kilda Warriors BRAVE U12 Boys,St Kilda Warriors POWER U12 Boys,St Kilda Warriors FIERCE U12 Boys,St Kilda Warriors STRONG U12 Boys,St Kilda Warriors SPIRIT U12 Boys,,>11:30 am
Saturday U12 Boys Div  5,Storm Wolves U12 Boys,,,,,,,,,
Saturday U12 Boys Div  5,Vampires U12 Boys Chiefs,,,,,,,,,
Saturday U12 Boys Div  6,ABA U12 Wolverines Alpha,,,,,,,,,
Saturday U12 Boys Div  6,Black Wolves U12 Boys,,,,,,,,,
Saturday U12 Boys Div  6,JETS U12 Boys Chris,,,,,,,,,
Saturday U12 Boys Div  6,JETS U12 Boys Greg,,,,,,,,,
Saturday U12 Boys Div  6,Lakers U12 Boys Green,,,,,,,,,
Saturday U12 Boys Div  6,Saints U12 Boys Mavericks,Saints U14 Boys Blazers,,,,,,,,
Saturday U12 Boys Div  6,Vampires Basketball U12 Boys Ravens,Vampires Basketball U12 Boys Blood Ballers,Vampires Basketball U12 Boys Phoenixes,,,,,,,
Saturday U12 Boys Div  6,Wild Wolves U12 Boys,,,,,,,,,
Saturday U12 Boys Div  7,Blue Wolves U12 Boys,,,,,,,,,
Saturday U12 Boys Div  7,Carnegie Chargers U12 Boys Justin,Carnegie Chargers U10 Boys Justin,,,,,,,,
Saturday U12 Boys Div  7,JETS U12 Boys Richard,,,,,,,,,
Saturday U12 Boys Div  7,Lakers U12 Boys Burgundy,,,,,,,,,
Saturday U12 Boys Div  7,St Kilda Warriors STRONG U12 Boys,St Kilda Warriors BRAVE U10 Boys,St Kilda Warriors POWER U10 Boys,St Kilda Warriors BRAVE U12 Boys,St Kilda Warriors POWER U12 Boys,St Kilda Warriors FIERCE U12 Boys,St Kilda Warriors BOLD U12 Boys,St Kilda Warriors SPIRIT U12 Boys,,>11 am
Saturday U12 Boys Div  7,Vampires U12 Boys Thunderbolts,Vampires Basketball U16 Boys Falcons,,,,,,,,
Saturday U12 Boys Div  8,ABA U12 Wolverines Devils,ABA U14 Wolverines Decimate,,,,,,,,
Saturday U12 Boys Div  8,JETS U12 Boys Anton,JETS U10 Boys Anton,,,,,,,,
Saturday U12 Boys Div  8,Lakers U12 Boys Gold,Lakers U10 Boys Green,,,,,,,,>10:45 am
Saturday U12 Boys Div  8,MM U12 Boys Mavericks,,,,,,,,,
Saturday U12 Boys Div  8,RAPTORS U12 Boys Andrew,,,,,,,,,
Saturday U12 Boys Div  8,RAPTORS U12 Boys Mar,,,,,,,,,>1:30 pm
Saturday U12 Boys Div  8,Shadow Wolves U12 Boys,ABA U12 Wolverines Fury,,,,,,,,
Saturday U12 Boys Div  8,Zulu Warriors U12 Boys,Venom Warriors U16 Boys,,,,,,,,
Saturday U12 Boys Div  9,Carnegie Chargers U12 Boys Hudson,Carnegie Chargers U14 Boys Beau,,,,,,,,
Saturday U12 Boys Div  9,JETS U12 Boys Nina & Ronnie,,,,,,,,,
Saturday U12 Boys Div  9,MM U12 Boys Rockets,MM U10 Boys Pistons,MM U10 Boys Raiders,,,,,,,
Saturday U12 Boys Div  9,Power Wolves U12 Boys,,,,,,,,,
Saturday U12 Boys Div  9,Saints U12 Boys Clippers,,,,,,,,,
Saturday U12 Boys Div  9,Sonic Wolves U12 Boys,,,,,,,,,
Saturday U12 Boys Div 10,ABA U12 Wolverines Storm,,,,,,,,,
Saturday U12 Boys Div 10,Carnegie Chargers U12 Boys Josh,,,,,,,,,
Saturday U12 Boys Div 10,JETS U12 Boys Zane,,,,,,,,,
Saturday U12 Boys Div 10,Lakers U12 Boys Yellow,,,,,,,,,
Saturday U12 Boys Div 10,RAPTORS U12 Boys Simon/AJ,,,,,,,,,
