Grade,Team,Linked_Team1,Linked_Team2,Linked_Team3,Linked_Team4,Linked_Team5,Linked_Team6,Linked_Team7,Linked_Team8,Unavailable_Times
Saturday U16 Boys Div  2,Savage Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div  2,Super Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div  2,U16 Boys Rocket Park Piranhas,,,,,,,,,
Saturday U16 Boys Div  2,Wild Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div  3,ABA U16 Wolverines Apex,,,,,,,,,
Saturday U16 Boys Div  3,JETS U16 Boys Peter,,,,,,,,,
Saturday U16 Boys Div  3,Lakers U16 Boys Amber,Lakers U14 Boys Bronze,Lakers U14 Boys Flame,Lakers U16 Boys Maroon,Lakers U16 Boys Navy,,,,,
Saturday U16 Boys Div  3,Lakers U16 Boys Blue,,,,,,,,,<2 pm; >3 pm
Saturday U16 Boys Div  3,RAPTORS U16 Boys Ananth,,,,,,,,,<4:30 pm
Saturday U16 Boys Div  3,RAPTORS U16 Boys Salv,,,,,,,,,
Saturday U16 Boys Div  3,St Kilda Warriors POWER U16 Boys,St Kilda Warriors BRAVE U14 Boys,St Kilda Warriors POWER U14 Boys,St Kilda Warriors BRAVE U16 Boys,,,,,,>4:30 pm
Saturday U16 Boys Div  3,Venom Warriors U16 Boys,Brave Warriors U18 Boys,Zulu Warriors U12 Boys,,,,,,,
Saturday U16 Boys Div  4,Carnegie Chargers U16 Boys Greg,Carnegie Chargers U10 Boys Greg & Darcy,Carnegie Chargers U14 Boys Greg,,,,,,,<2 pm
Saturday U16 Boys Div  4,Fearless Warriors U16 Boys,Dragon Warriors U18 Boys,,,,,,,,
Saturday U16 Boys Div  4,Ice Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div  4,JETS U16 Boys Matt,JETS U14 Boys Cooper,JETS U16 Boys Lauren,,,,,,,
Saturday U16 Boys Div  4,Rogue Bears,,,,,,,,,>3 pm
Saturday U16 Boys Div  4,Shadow Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div  5,Fierce Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div  5,JETS U16 Boys Darren,,,,,,,,,
Saturday U16 Boys Div  5,JETS U16 Boys Paul,JETS U12 Boys Elliot & Zachary,,,,,,,,
Saturday U16 Boys Div  5,Lakers U16 Boys Yellow,,,,,,,,,
Saturday U16 Boys Div  5,MM U16 Boys Bulldogs,MM U18 Boys Nuggets,MM U18 Boys Typhoons,,,,,,,
Saturday U16 Boys Div  5,Teen Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div  6,Carnegie Chargers U16 Boys Steve,,,,,,,,,
Saturday U16 Boys Div  6,Lakers U16 Boys Burgundy,,,,,,,,,
Saturday U16 Boys Div  6,Lakers U16 Boys Silver,,,,,,,,,
Saturday U16 Boys Div  6,Lakers U16 Boys Violet,,,,,,,,,
Saturday U16 Boys Div  6,MM U16 Boys Bobcats,,,,,,,,,
Saturday U16 Boys Div  6,Werewolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div  7,ABA U16 Wolverines Hunters,,,,,,,,,
Saturday U16 Boys Div  7,ABA U16 Wolverines Ignite,,,,,,,,,
Saturday U16 Boys Div  7,Carnegie Chargers U16 Boys Manny,Carnegie Chargers U18 Boys Peter K,,,,,,,,
Saturday U16 Boys Div  7,Dark Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div  7,East Malvern Hot Shots,,,,,,,,,>3:30 pm
Saturday U16 Boys Div  7,Grey Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div  7,JETS U16 Boys Aaron,,,,,,,,,
Saturday U16 Boys Div  7,JETS U16 Boys Jeremey (Black),JETS U14 Boys Benji,JETS U14 Boys Asher,JETS U16 Boys Jeremey (Green),,,,,,
Saturday U16 Boys Div  7,Lakers U16 Boys Gold,,,,,,,,,
Saturday U16 Boys Div  8,Carnegie Chargers U16 Boys Allen,Carnegie Chargers U14 Boys Beau,,,,,,,,
Saturday U16 Boys Div  8,Lakers U16 Boys Black,,,,,,,,,
Saturday U16 Boys Div  8,Lakers U16 Boys Bronze,,,,,,,,,
Saturday U16 Boys Div  8,Maccabi U16 Boys Mambas,,,,,,,,,
Saturday U16 Boys Div  8,Maccabi U16 Boys Shabbos Shooters,,,,,,,,,<5 pm
Saturday U16 Boys Div  8,RAPTORS U16 Boys Dat,,,,,,,,,
Saturday U16 Boys Div  9,Cosmic Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div  9,JETS U16 Boys Casey,,,,,,,,,
Saturday U16 Boys Div  9,JETS U16 Boys Jeremey (Green),JETS U16 Boys Jeremey (Black),,,,,,,,
Saturday U16 Boys Div  9,Phoenix Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div  9,Power Warriors U16 Boys,Fighter Warriors U18 Boys,Lakers U18 Boys Blue,,,,,,,
Saturday U16 Boys Div  9,RAPTORS U16 Boys Trevor,,,,,,,,,
Saturday U16 Boys Div 10,Black Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div 10,Blue Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div 10,JETS U16 Boys Patrick,,,,,,,,,
Saturday U16 Boys Div 10,JETS U16 Boys Zack (Green),JETS U16 Boys Zack (Black),,,,,,,,
Saturday U16 Boys Div 10,Lakers U16 Boys Cobalt,,,,,,,,,
Saturday U16 Boys Div 10,Pack Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div 11,ABA U16 Wolverines Combat,,,,,,,,,
Saturday U16 Boys Div 11,JETS U16 Boys Billy,,,,,,,,,
Saturday U16 Boys Div 11,Lakers U16 Boys Maroon,Lakers U14 Boys Flame,Lakers U16 Boys Amber,Lakers U16 Boys Navy,,,,,,
Saturday U16 Boys Div 11,Lakers U16 Boys Orange,,,,,,,,,
Saturday U16 Boys Div 11,MM U16 Boys Pelicans,,,,,,,,,
Saturday U16 Boys Div 11,U16 Boys Anderson Park Piranhas,,,,,,,,,
Saturday U16 Boys Div 12,ABA U16 Wolverines Stealth,,,,,,,,,
Saturday U16 Boys Div 12,JETS U16 Boys Lauren,JETS U14 Boys Cooper,JETS U16 Boys Matt,,,,,,,
Saturday U16 Boys Div 12,Lakers U16 Boys Green,,,,,,,,,
Saturday U16 Boys Div 12,Lakers U16 Boys Red,,,,,,,,,
Saturday U16 Boys Div 12,MM U16 Boys Hawks,,,,,,,,,
Saturday U16 Boys Div 12,RAPTORS U16 Boys Anthony/Harley,,,,,,,,,
Saturday U16 Boys Div 12,RAPTORS U16 Boys JB,,,,,,,,,
Saturday U16 Boys Div 12,Saints U16 Boys Hawks,ABA U14 Wolverines Decimate,,,,,,,,
Saturday U16 Boys Div 12,Saints U16 Boys Heat,,,,,,,,,
Saturday U16 Boys Div 12,Sky Warriors U16 Boys,,,,,,,,,
Saturday U16 Boys Div 13,JETS U16 Boys David,,,,,,,,,
Saturday U16 Boys Div 13,JETS U16 Boys Yoram,,,,,,,,,
Saturday U16 Boys Div 13,Lakers U16 Boys Emerald,,,,,,,,,
Saturday U16 Boys Div 13,Night Wolves U16 Boys,,,,,,,,,
Saturday U16 Boys Div 13,Puma Warriors U16 Boys,Dragon Warriors U18 Boys,,,,,,,,
Saturday U16 Boys Div 13,Vampires Basketball U16 Boys Falcons,Vampires U12 Boys Thunderbolts,,,,,,,,
Saturday U16 Boys Div 13,Vampires Basketball U16 Boys Stingrays,,,,,,,,,
Saturday U16 Boys Div 14,Carnegie Chargers U16 Boys Konrad,,,,,,,,,
Saturday U16 Boys Div 14,JETS U16 Boys Nick,,,,,,,,,
Saturday U16 Boys Div 14,JETS U16 Boys Zack (Black),JETS U16 Boys Zack (Green),,,,,,,,
Saturday U16 Boys Div 14,Lakers U16 Boys Indigo,,,,,,,,,
Saturday U16 Boys Div 14,Lakers U16 Boys Ruby,,,,,,,,,
Saturday U16 Boys Div 14,Lakers U16 Boys Sapphire,,,,,,,,,
Saturday U16 Boys Div 14,RAPTORS U16 Boys Dan,,,,,,,,,
Saturday U18 Boys Div  1,Carnegie Chargers U18 Boys Ben,Carnegie Chargers U12 Boys Quinn,,,,,,,,
Saturday U18 Boys Div  1,Carnegie Chargers U18 Boys Peter M,Carnegie Chargers U12 Boys Archer,,,,,,,,
Saturday U18 Boys Div  1,JETS U18 Boys Charles,Lakers U16 Boys Crimson,,,,,,,,
Saturday U18 Boys Div  1,Lakers U18 Boys Flame,Lakers U16 Boys Crimson,Lakers U18 Boys Gold,S.E.T United - Tulip Street Titans,,,,,,
Saturday U18 Boys Div  1,MM U18 Boys Shooting Stars,,,,,,,,,
Saturday U18 Boys Div  1,Night Wolves U18 Boys,,,,,,,,,
Saturday U18 Boys Div  1,Thunder Wolves U18 Boys,,,,,,,,,
Saturday U18 Boys Div  1,Timberwolves U18 Boys,,,,,,,,,
Saturday U18 Boys Div  2,Carnegie Chargers U18 Boys Navy,,,,,,,,,<5 pm
Saturday U18 Boys Div  2,Dark Wolves U18 Boys,,,,,,,,,
Saturday U18 Boys Div  2,Fighter Warriors U18 Boys,Power Warriors U16 Boys,,,,,,,,
Saturday U18 Boys Div  2,Free Ballers,,,,,,,,,
Saturday U18 Boys Div  2,Lakers U18 Boys Blue,Lakers U16 Boys Flame,Power Warriors U16 Boys,,,,,,,
Saturday U18 Boys Div  2,Pack Wolves U18 Boys,,,,,,,,,
Saturday U18 Boys Div  2,Saints U18 Boys Sharks,,,,,,,,,<3:30 pm
Saturday U18 Boys Div  3,Bricked Ballers,,,,,,,,,
Saturday U18 Boys Div  3,Dreidel Dribblers,,,,,,,,,
Saturday U18 Boys Div  3,JETS U18 Boys Lincoln,,,,,,,,,
Saturday U18 Boys Div  3,JETS U18 Boys Shawn,,,,,,,,,
Saturday U18 Boys Div  3,Lakers U18 Boys Gold,Lakers U18 Boys Flame,,,,,,,,
Saturday U18 Boys Div  3,Lakers U18 Boys Yellow,,,,,,,,,
Saturday U18 Boys Div  4,Brave Warriors U18 Boys,Venom Warriors U16 Boys,,,,,,,,
Saturday U18 Boys Div  4,JETS U18 Boys Chris,,,,,,,,,<3 pm
Saturday U18 Boys Div  4,MM U18 Boys Bullets,,,,,,,,,
Saturday U18 Boys Div  4,MM U18 Boys Suns,,,,,,,,,
Saturday U18 Boys Div  4,RAPTORS U18 Boys Michael,,,,,,,,,
Saturday U18 Boys Div  4,Vampires Basketball U18 Boys 76'ers,,,,,,,,,
Saturday U18 Boys Div  5,Cobalt Wolves U18 Boys,,,,,,,,,
Saturday U18 Boys Div  5,Flip n Floppers,,,,,,,,,
Saturday U18 Boys Div  5,JETS U18 Boys Daniel,JETS U12 Boys Wills,JETS U12 Boys Elliot & Zachary,,,,,,,
Saturday U18 Boys Div  5,Lakers U18 Boys Aqua,,,,,,,,,
Saturday U18 Boys Div  5,Matcha Ballers,,,,,,,,,
Saturday U18 Boys Div  5,MM U18 Boys Bulls,,,,,,,,,
Saturday U18 Boys Div  5,MM U18 Boys Thunder,MM U10 Boys Pistons,MM U14 Boys Blazers,MM U14 Boys Spurs,,,,,,
Saturday U18 Boys Div  5,MM U18 Boys Typhoons,MM U16 Boys Bulldogs,,,,,,,,
Saturday U18 Boys Div  5,RAPTORS U18 Boys Volks,,,,,,,,,
Saturday U18 Boys Div  5,U18 Boys Riversdale Piranhas,,,,,,,,,<5 pm
Saturday U18 Boys Div  6,Carnegie Chargers U18 Boys Gold,,,,,,,,,
Saturday U18 Boys Div  6,Dragon Warriors U18 Boys,Fearless Warriors U16 Boys,Puma Warriors U16 Boys,,,,,,,
Saturday U18 Boys Div  6,Lakers U18 Boys Bronze,,,,,,,,,
Saturday U18 Boys Div  6,Lakers U18 Boys Silver,,,,,,,,,
Saturday U18 Boys Div  6,MM U18 Boys Nuggets,MM U16 Boys Bulldogs,,,,,,,,
Saturday U18 Boys Div  6,MM U18 Boys Titans,MM U12 Boys Taipans,,,,,,,,
Saturday U18 Boys Div  6,RAPTORS U18 Boys Max,,,,,,,,,
Saturday U18 Boys Div  6,RAPTORS U18 Boys Pat/Paul,,,,,,,,,
Saturday U18 Boys Div  6,Saints U18 Boys Thunder,,,,,,,,,
Saturday U18 Boys Div  6,Wild Wolves U18 Boys,,,,,,,,,
Saturday U18 Boys Div  7,Carnegie Chargers U18 Boys Peter K,Carnegie Chargers U16 Boys Manny,,,,,,,,
Saturday U18 Boys Div  7,Howling Wolves U18 Boys,,,,,,,,,
Saturday U18 Boys Div  7,JETS U18 Boys Michael,,,,,,,,,
Saturday U18 Boys Div  7,JETS U18 Boys Santiago,,,,,,,,,
Saturday U18 Boys Div  7,Lakers U18 Boys Orange,,,,,,,,,
Saturday U18 Boys Div  7,Lakers U18 Boys Sapphire,,,,,,,,,
Saturday U8 Mixed BLUE,All Star Warriors U8 Mixed,Combat Warriors U10 Boys,,,,,,,,
Saturday U8 Mixed BLUE,Carnegie Chargers U8 Mixed Tobias,,,,,,,,,
Saturday U8 Mixed BLUE,Melbourne Wolves U8 Carter,St Kilda Warriors POWER U10 Boys,,,,,,,,
Saturday U8 Mixed BLUE,MM U8 Boys Hustlers,,,,,,,,,
Saturday U8 Mixed BLUE,Vampires Basketball U8 Mixed Fireballs,,,,,,,,,
Saturday U8 Mixed BLUE,Wild Wolves U8 Boys,,,,,,,,,
Saturday U8 Mixed GREEN,Carnegie Chargers U8 Mixed Ben,,,,,,,,,
Saturday U8 Mixed GREEN,Carnegie Chargers U8 Mixed Will,,,,,,,,,
Saturday U8 Mixed GREEN,Ice Wolves U8 Boys,,,,,,,,,
Saturday U8 Mixed GREEN,JETS U8 Boys Adam & Charlie,,,,,,,,,
Saturday U8 Mixed GREEN,Lakers U8 Boys Blue,,,,,,,,,
Saturday U8 Mixed GREEN,Lakers U8 Boys Red,,,,,,,,,
Saturday U8 Mixed GREEN,RAPTORS U8 Boys George,,,,,,,,,>9:45 am
Saturday U8 Mixed GREEN,Vampires Basketball U8 Boys Bounce Bros,,,,,,,,,
Saturday U8 Mixed RED,JETS U8 Boys Max,,,,,,,,,
Saturday U8 Mixed RED,Lakers U8 Boys Green,,,,,,,,,
Saturday U8 Mixed RED,Lakers U8 Boys Yellow,,,,,,,,,
Saturday U8 Mixed RED,Lightning Wolves U8 Boys,,,,,,,,,
Saturday U8 Mixed RED,MM U8 Boys Phoenix,MM U10 Boys Cubs,,,,,,,,
Saturday U8 Mixed RED,St Kilda Warriors BRAVE U8 Boys,,,,,,,,,
Saturday U8 Mixed RED,Vampires Basketball U8 Mixed Count Dunkulas,,,,,,,,,
Saturday U8 Mixed YELLOW,Feisty Wolves U8 Boys,,,,,,,,,
Saturday U8 Mixed YELLOW,JETS U8 Boys Alex,,,,,,,,,
Saturday U8 Mixed YELLOW,JETS U8 Boys Joel,,,,,,,,,
Saturday U8 Mixed YELLOW,JETS U8 Boys Shannon,JETS U10 Boys Shannon,,,,,,,,
Saturday U8 Mixed YELLOW,RAPTORS U8 Boys Nirooshan,,,,,,,,,
Saturday U8 Mixed YELLOW,Saints U8 Boys ThunderHawks,,,,,,,,,
Sunday Open Men Div 1,Brown Shirts,,,,,,,,,
Sunday Open Men Div 1,Killerblowers,,,,,,,,,
Sunday Open Men Div 1,Lakers Open Men Blue,,,,,,,,,
Sunday Open Men Div 1,Pack Wolves Open Men,,,,,,,,,
Sunday Open Men Div 1,Pickle Farmers,,,,,,,,,
Sunday Open Men Div 1,The Mighty Wolves,,,,,,,,,
Sunday Open Men Div 1,Timberwolves Open Men,,,,,,,,,
Sunday Open Men Div 2,B Week,,,,,,,,,
Sunday Open Men Div 2,Grizzly Goobers,,,,,,,,,
Sunday Open Men Div 2,Jutah Jazz,,,,,,,,,
Sunday Open Men Div 2,Lrick Bayers,,,,,,,,,
Sunday Open Men Div 2,Panthers,,,,,,,,,
Sunday Open Men Div 2,Stingers,,,,,,,,,
Sunday Open Men Div 3,Bloaters,,,,,,,,,
Sunday Open Men Div 3,Fourth Time Lucky,,,,,,,,,
Sunday Open Men Div 3,Giddey's Goons,,,,,,,,,
Sunday Open Men Div 3,Jim's Ballers,,,,,,,,,
Sunday Open Men Div 3,Knight Warriors Open Men,,,,,,,,,
Sunday Open Men Div 3,Scumgang,,,,,,,,,
Sunday Open Men Div 3,Soulja Slammers,,,,,,,,,
Sunday Open Men Div 3,The Suburb,,,,,,,,,
Sunday Open Men Div 4,Crusty Nuggets,,,,,,,,,
Sunday Open Men Div 4,CTE Ball,,,,,,,,,
Sunday Open Men Div 4,Garage Monkeys,,,,,,,,,
Sunday Open Men Div 4,Horsemen,,,,,,,,,
Sunday Open Men Div 4,JETS Open Men Black,,,,,,,,,
Sunday Open Men Div 4,Olden State Warriors,,,,,,,,,
Sunday Open Men Div 4,Plan B,,,,,,,,,
Sunday Open Men Div 4,Wilson's Warriors,,,,,,,,,
Sunday Open Men Div 5,Brickies,,,,,,,,,
Sunday Open Men Div 5,Carnegie Chargers Pension Pinchers,,,,,,,,,>4:30 pm
Sunday Open Men Div 5,JETS Open Men White,,,,,,,,,
Sunday Open Men Div 5,Mighty Saints,,,,,,,,,
Sunday Open Men Div 5,OG Raptors,WYLL Wizards,,,,,,,,
Sunday Open Men Div 5,Paint Picassos,Young-ish,,,,,,,,
Sunday Open Men Div 6,D Minus,,,,,,,,,
Sunday Open Men Div 6,JETS Open Men Green,,,,,,,,,
Sunday Open Men Div 6,Just Play Panthers,,,,,,,,,
Sunday Open Men Div 6,Just Play Sunrisers,,,,,,,,,
Sunday Open Men Div 6,RAPTORS Open Men Richard,,,,,,,,,
Sunday Open Men Div 6,The Woodpeckers,,,,,,,,,
Sunday Open Men Div 6,TIGERS,,,,,,,,,
Sunday Open Men Div 6,Vintage Raptors,,,,,,,,,
Sunday Open Men Div 7,52 Canboonie,,,,,,,,,
Sunday Open Men Div 7,Air Ball All-Stars,,,,,,,,,
Sunday Open Men Div 7,Old Raptors,,,,,,,,,
Sunday Open Men Div 7,Relic Raptors,,,,,,,,,
Sunday Open Men Div 7,Richmond Rimmerz,,,,,,,,,
Sunday Open Men Div 7,Team 67,,,,,,,,,
Sunday Open Men Div 7,The Airballers,,,,,,,,,
Sunday Open Men Div 7,THE CHIEFS,,,,,,,,,
Sunday Open Women Div 1,JETS Open Women Jade,Athena Warriors U14 Girls,,,,,,,,
Sunday Open Women Div 1,Lakers Open Women Aqua,,,,,,,,,
Sunday Open Women Div 1,Lakers Open Women Ruby,,,,,,,,,
Sunday Open Women Div 1,Lakers Open Women Violet,Lakers U16 Girls Turquoise,Lakers U18 Girls Ruby,,,,,,,
Sunday Open Women Div 1,Saints Open Women - Panthers,,,,,,,,,
Sunday Open Women Div 1,Storm Warriors,,,,,,,,,
Sunday Open Women Div 1,The Cereal Killers,,,,,,,,,
Sunday Open Women Div 1,The Retired ballers,,,,,,,,,
Sunday Open Women Div 2,Air Ballerz,,,,,,,,,
Sunday Open Women Div 2,Footlocker Employees,,,,,,,,,<7:15 pm
Sunday Open Women Div 2,JETS Open Women Black,,,,,,,,,
Sunday Open Women Div 2,Lakers Open Women Blue,,,,,,,,,
Sunday Open Women Div 2,Young-ish,Airballers,Paint Picassos,,,,,,,
Sunday U10 Girls Div  1,Carnegie Chargers U10 Girls Dave,,,,,,,,,
Sunday U10 Girls Div  1,Lakers U10 Girls Indigo,Lakers U12 Girls Ruby,,,,,,,,
Sunday U10 Girls Div  1,Star Warriors U10 Girls,Nyla Warriors U12 Girls,,,,,,,,
Sunday U10 Girls Div  1,Super Wolves U10 Girls,,,,,,,,,
Sunday U10 Girls Div  1,Swift Wolves U10 Girls,,,,,,,,,
Sunday U10 Girls Div  1,Vampires Basketball U10 Girls Crystals,,,,,,,,,
Sunday U10 Girls Div  2,ABA U10G Wolverines Wild,,,,,,,,,
Sunday U10 Girls Div  2,JETS U10 Girls Sinem,JETS U8 Girls Sinem,,,,,,,,
Sunday U10 Girls Div  2,Lakers U10 Girls Violet,Lakers U12 Girls Copper,,,,,,,,
Sunday U10 Girls Div  2,Rainbow Wolves U10 Girls,,,,,,,,,
Sunday U10 Girls Div  2,RAPTORS U10 Girls Demon Hunters,,,,,,,,,
Sunday U10 Girls Div  2,U10 Girls Saints - Aces,,,,,,,,,
Sunday U10 Girls Div  2,Vampires Basketball U10 Girls Gems,Red Wolves U16 Girls,,,,,,,,
Sunday U10 Girls Div  3,Carnegie Chargers U10 Girls Andrew,,,,,,,,,
Sunday U10 Girls Div  3,Golden Wolves U10 Girls,,,,,,,,,
Sunday U10 Girls Div  3,JETS U10 Girls Benn,,,,,,,,,
Sunday U10 Girls Div  3,JETS U10 Girls Tamara,,,,,,,,,
Sunday U10 Girls Div  3,RAPTORS U10 Girls Nick,RAPTORS U12 Girls Mathew EA,,,,,,,,
Sunday U10 Girls Div  3,U10 Girls Saints - Sky,U12 Girls Saints - Saints,,,,,,,,
Sunday U10 Girls Div  3,U10 Girls Saints - Storm,,,,,,,,,
Sunday U10 Girls Div  4,Carnegie Chargers U10 Girls Stars,,,,,,,,,
Sunday U10 Girls Div  4,JETS U10 Girls Michael,,,,,,,,,
Sunday U10 Girls Div  4,MM U10 Girls Flyers,,,,,,,,,
Sunday U10 Girls Div  4,Purple Wolves U10 Girls,,,,,,,,,
Sunday U10 Girls Div  4,RAPTORS U10 Girls Bonnie,,,,,,,,,
Sunday U10 Girls Div  4,Star Wolves U10 Girls,,,,,,,,,
Sunday U10 Girls Div  4,U10 Girls Saints - Sparks,,,,,,,,,
Sunday U10 Girls Div  4,Vampires Basketball U10 Girls Twilights,,,,,,,,,
Sunday U10 Girls Div  5,JETS U10 Girls Damien,JETS U12 Girls Damien,,,,,,,,
Sunday U10 Girls Div  5,Lakers U10 Girls Amber,,,,,,,,,>9:45 am
Sunday U10 Girls Div  5,MM U10 Girls Jaguars,MM U8 Girls Rainbows,,,,,,,,
Sunday U10 Girls Div  5,U10 Girls Saints - Flames,,,,,,,,,
Sunday U10 Girls Div  6,Arctic Wolves U10 Girls,,,,,,,,,
Sunday U10 Girls Div  6,Carnegie Chargers U10 Girls Nick,,,,,,,,,
Sunday U10 Girls Div  6,Golden Hawks U10 Girls Nova,,,,,,,,,
Sunday U10 Girls Div  6,Snow Wolves U10 Girls,,,,,,,,,
Sunday U10 Girls Div  6,Sunset Warriors U10 Girls,,,,,,,,,
Sunday U10 Girls Div  6,Vampires Basketball U10 Girls Sparks,Vampires Basketball U12 Girls Lightning,,,,,,,,
Sunday U10 Girls Div  7,JETS U10 Girls Daniel,,,,,,,,,
Sunday U10 Girls Div  7,Lakers U10 Girls Purple,,,,,,,,,
Sunday U10 Girls Div  7,Lakers U10 Girls Silver,,,,,,,,,
Sunday U10 Girls Div  7,Lightning Warriors U10 Girls,,,,,,,,,
Sunday U10 Girls Div  7,U10 Girls Saints - Dream,,,,,,,,,
Sunday U10 Girls Div  7,U10 Girls Saints - Liberty,,,,,,,,,
Sunday U12 Girls Div  1,Amazon Warriors U12 Girls,,,,,,,,,
Sunday U12 Girls Div  1,Carnegie Chargers U12 Girls Beau,,,,,,,,,
Sunday U12 Girls Div  1,Carnegie Chargers U12 Girls Mina,Carnegie Chargers U14 Girls Mia,JETS U14 Girls Bernard,U14 Girls Saints - Fever,,,,,,
Sunday U12 Girls Div  1,Fire Wolves U12 Girls,,,,,,,,,
Sunday U12 Girls Div  1,Gold Wolves U12 Girls,,,,,,,,,
Sunday U12 Girls Div  1,Ice Wolves U12 Girls,,,,,,,,,<10:30 am
Sunday U12 Girls Div  1,JETS U12 Girls Nick,,,,,,,,,
Sunday U12 Girls Div  1,JETS U12 Girls Nina & Ronnie,,,,,,,,,
Sunday U12 Girls Div  1,Nyla Warriors U12 Girls,Skuld Warriors U14 Girls,Star Warriors U10 Girls,,,,,,,<10:30 am
Sunday U12 Girls Div  1,RAPTORS U12 Girls Ananth,RAPTORS U14 Girls Mathew,,,,,,,,<11:30 am
Sunday U12 Girls Div  2,ABA U12G Wolverines Blaze,ABA U14G Wolverines Swift,,,,,,,,<10:30 am
Sunday U12 Girls Div  2,MM U12 Girls Stars,MM U14 Girls Dream,,,,,,,,
Sunday U12 Girls Div  2,RAPTORS U12 Girls Stephen,,,,,,,,,<11:30 am
Sunday U12 Girls Div  2,Silver Wolves U12 Girls,,,,,,,,,
Sunday U12 Girls Div  2,St Peter's Sharks,,,,,,,,,
Sunday U12 Girls Div  2,U12 Girls Saints - Mercury,U14 Girls Saints - Sky,,,,,,,,
Sunday U12 Girls Div  3,Carnegie Chargers U12 Girls Tahlia,JETS U14 Girls Gavin,,,,,,,,<10 am
Sunday U12 Girls Div  3,Celtic Warriors U12 Girls,,,,,,,,,<10 am
Sunday U12 Girls Div  3,Diamond Wolves U12 Girls,,,,,,,,,<9:45 am
Sunday U12 Girls Div  3,JETS U12 Girls Stephen,,,,,,,,,
Sunday U12 Girls Div  3,St Kilda Warriors BRAVE U12 Girls,St Kilda Warriors POWER U12 Girls,St Kilda Warriors FIERCE U12 Girls,St Kilda Warriors BRAVE U14 Girls,St Kilda Warriors POWER U14 Girls,,,,,<11:15 am
Sunday U12 Girls Div  3,Wonder Wolves U12 Girls,,,,,,,,,
Sunday U12 Girls Div  4,Bayside Warriors U12 Girls Green,,,,,,,,,<10:30 am
Sunday U12 Girls Div  4,JETS U12 Girls Matt,JETS U14 Girls Matt,,,,,,,,
Sunday U12 Girls Div  4,Lakers U12 Girls Gold,Lakers U14 Girls Cobalt,,,,,,,,
Sunday U12 Girls Div  4,Lakers U12 Girls Ruby,Lakers U10 Girls Indigo,,,,,,,,>9:45 am
Sunday U12 Girls Div  4,Maccabi U12 Girls Warriors,Maccabi U14 Girls Warriors,Maccabi U16 Girls Storm,Maccabi U16 Girls Fever,,,,,,
Sunday U12 Girls Div  4,MM U12 Girls Unicorns,,,,,,,,,
Sunday U12 Girls Div  4,Rainbow Wolves U12 Girls,,,,,,,,,
Sunday U12 Girls Div  4,Sapphire Wolves U12 Girls,MSF,,,,,,,,
Sunday U12 Girls Div  5,Blue Wolves U12 Girls,Luna Wolves U14 Girls,Silver Wolves U16 Girls,,,,,,,
Sunday U12 Girls Div  5,JETS U12 Girls Damien,JETS U10 Girls Damien,,,,,,,,
Sunday U12 Girls Div  5,JETS U12 Girls Toby & Andrew,,,,,,,,,
Sunday U12 Girls Div  5,RAPTORS U12 Girls Mark,RAPTORS U14 Girls M&M,,,,,,,,
Sunday U12 Girls Div  5,RAPTORS U12 Girls Mathew EA,RAPTORS U10 Girls Nick,RAPTORS U14 Girls Mathew,,,,,,,
Sunday U12 Girls Div  5,Shadow Wolves U12 Girls,,,,,,,,,
Sunday U12 Girls Div  6,ABA U12G Wolverines Arctic,,,,,,,,,
Sunday U12 Girls Div  6,Lakers U12 Girls Blue,,,,,,,,,
Sunday U12 Girls Div  6,Lakers U12 Girls Copper,Lakers U14 Girls Indigo,Lakers U10 Girls Violet,,,,,,,
Sunday U12 Girls Div  6,RAPTORS U12 Girls Mick,,,,,,,,,
Sunday U12 Girls Div  6,U12 Girls Saints - Saints,U10 Girls Saints - Sky,,,,,,,,
Sunday U12 Girls Div  6,Xena Warriors U12 Girls,,,,,,,,,
Sunday U12 Girls Div  7,JETS U12 Girls Chanya,JETS U16 Girls Oliver,,,,,,,,
Sunday U12 Girls Div  7,JETS U12 Girls Claire & Emma,JETS U18 Girls Craig,,,,,,,,
Sunday U12 Girls Div  7,Maccabi U12 Girls Fever,,,,,,,,,
Sunday U12 Girls Div  7,Mighty Wolves U12 Girls,,,,,,,,,
Sunday U12 Girls Div  7,MM U12 Girls Gems,,,,,,,,,
Sunday U12 Girls Div  7,RAPTORS U12 Girls Matt,,,,,,,,,
